"Kingdom" "Supergroup" "Division" "Class" "Order" "Family" "Genus" "Species"
"131" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Prorocentrales" "Prorocentraceae" "Prorocentrum" "Prorocentrum_sp."
"132" "Eukaryota" "Alveolata" NA NA NA NA NA NA
"133" "Eukaryota" "Opisthokonta" "Choanoflagellida" "Choanoflagellida_X" "Choanoflagellida_XX" "Choanoflagellida_XXX" "Choanoflagellida_XXXX" "Choanoflagellida_XXXX_sp."
"134" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Gonyaulacales" "Ceratiaceae" "Ceratium" "Ceratium_hirundinella"
"135" "Eukaryota" "Stramenopiles" NA NA NA NA NA NA
"136" "Eukaryota" "Archaeplastida" "Chlorophyta" "Mamiellophyceae" "Monomastigales" "Monomastigaceae" "Monomastix" NA
"137" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Cryptomonas" NA
"138" "Eukaryota" "Hacrobia" "Haptophyta" "Prymnesiophyceae" "Prymnesiales" "Chrysochromulinaceae" "Chrysochromulina" "Chrysochromulina_parva"
"139" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Branchiopoda" "Chydorus" "Chydorus_sphaericus"
"140" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Hypotrichia" "Urostylidae" "Uroleptus" "Uroleptus_sp."
"141" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
"142" "Eukaryota" "Stramenopiles" "Pseudofungi" "Oomycota" "Oomycota_X" "Saprolegniales" "Saprolegniales_X" "Saprolegniales_X_sp."
"143" "Eukaryota" "Hacrobia" "Cryptophyta" "Cryptophyceae" "Cryptomonadales" "Cryptomonadales_X" "Cryptomonas" "Cryptomonas_obovata"
"144" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Branchiopoda" "Diaphanosoma" "Diaphanosoma_sp."
"145" "Eukaryota" "Rhizaria" "Cercozoa" "Filosa-Imbricatea" "Thaumatomonadida" "Peregriniidae" "Peregrinia" "Peregrinia_sp."
"146" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-C" NA NA
"147" "Eukaryota" "Rhizaria" "Cercozoa" "Filosa-Imbricatea" "Thaumatomonadida" "Peregriniidae" "Peregrinia" "Peregrinia_sp."
"148" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Prorocentrales" "Prorocentraceae" "Prorocentrum" "Prorocentrum_sp."
"149" "Eukaryota" "Opisthokonta" "Fungi" "Ascomycota" "Pezizomycotina" "Dothideomycetes" "Cladosporium" "Cladosporium_sp."
"150" "Eukaryota" "Archaeplastida" "Chlorophyta" "Trebouxiophyceae" "Trebouxiophyceae_X" "Trebouxiophyceae_XX" "Botryococcus" "Botryococcus_terribilis"
"151" "Eukaryota" "Opisthokonta" "Fungi" "Chytridiomycota" "Chytridiomycotina" "Chytridiomycetes" "Rhyzophidiales_X" "Rhyzophidiales_X_sp."
"152" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_Clade-B2" "Chrysamoeba" "Chrysamoeba_tenera"
"153" "Eukaryota" "Stramenopiles" "Opalozoa" "Bicoecea" NA NA NA NA
"154" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Suessiales" "Suessiaceae" NA NA
"155" "Eukaryota" "Alveolata" "Ciliophora" "CONTH_5" "CONTH_5_X" "CONTH_5_XX" "CONTH_5_XXX" "CONTH_5_XXX_sp."
"156" "Eukaryota" "Alveolata" "Perkinsea" "Perkinsida" "Perkinsida_X" "Perkinsida_XX" "Perkinsida_XXX" "Perkinsida_XXX_sp."
"157" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_C" "Strobilidiidae_C_X" "Strobilidiidae_C_X_sp."
"158" "Eukaryota" "Alveolata" "Ciliophora" "Spirotrichea" "Choreotrichida" "Strobilidiidae_G" "Strobilidiidae_G_X" "Strobilidiidae_G_X_sp."
"159" "Eukaryota" "Opisthokonta" "Metazoa" "Arthropoda" "Crustacea" "Branchiopoda" "Diaphanosoma" "Diaphanosoma_sp."
"160" "Eukaryota" "Stramenopiles" "Ochrophyta" "Synurophyceae" "Synurales" "Synurales_X" "Mallomonas" "Mallomonas_punctifera"
"161" "Eukaryota" "Stramenopiles" "Ochrophyta" "Chrysophyceae" "Chrysophyceae_X" "Chrysophyceae_XX" "Chrysophyceae_XXX" "Chrysophyceae_XXX_sp."
"162" "Eukaryota" "Alveolata" "Dinoflagellata" "Dinophyceae" "Peridiniales" "Peridiniaceae" "Peridinium" "Peridinium_gatunense"
